metric,treatment_n,control_n,treatment_x,control_x,treatment_rate,control_rate,rate_diff,se,z,p_value
pos_error_induced_cancel_numerator,315888,316404,1239,575,0.0039222762498100595,0.0018172968736172742,0.002104979376192785,0.0001345263068198314,15.647343824074092,3.463777600734985e-55
pos_proactive_cancel_numerator,315888,316404,1239,575,0.0039222762498100595,0.0018172968736172742,0.002104979376192785,0.0001345263068198314,15.647343824074092,3.463777600734985e-55
cancelled_core_numerator,315888,316404,6173,5354,0.019541736311604115,0.016921404280603278,0.002620332031000837,0.0003364924836205947,7.787193350670321,6.8514065251601156e-15
mx_induced_cancel_numerator,315888,316404,2152,2060,0.006812541153826673,0.006510663582002756,0.0003018775718239171,0.00020459983221682767,1.4754536626598886,0.14009061728416558
cx_induced_cancel_numerator,315888,316404,1164,1115,0.00368485032669807,0.0035239756766665404,0.00016087465003152956,0.00015073028762894496,1.067301420054058,0.2858357470683849
store_closed_cancel_numerator,315888,316404,373,354,0.0011807982576102923,0.0011188227708878523,6.197548672244005e-05,8.523733100181355e-05,0.7270932347837291,0.46716884278196763
item_unavailable_cancel_numerator,315888,316404,373,355,0.0011807982576102923,0.0011219832871897954,5.881497042049691e-05,8.529586597766275e-05,0.6895406916426566,0.49048307528939916
logistics_induced_cancel_numerator,315888,316404,1434,1407,0.004539583649901231,0.004446846436833921,9.273721306730931e-05,0.00016821711895996473,0.5512947412289265,0.5814316428456088
ottl_cancel_numerator,315888,316404,1099,1090,0.0034790811933343465,0.003444962769117963,3.411842421638346e-05,0.00014773461484134543,0.2309440089786932,0.8173583005079549
wrong_dx_handoff_cancel_numerator,315888,316404,288,283,0.000911715544750038,0.0008944261134498932,1.7289431300144772e-05,7.554997431225707e-05,0.22884761321937036,0.8189873586112173
